Tanggal,RH_avg
21-12-2010,81
22-12-2010,80
23-12-2010,81
24-12-2010,82
25-12-2010,81
26-12-2010,81
27-12-2010,79
28-12-2010,80
29-12-2010,83
30-12-2010,82
31-12-2010,91
01-01-2011,88
02-01-2011,85
03-01-2011,86
04-01-2011,83
05-01-2011,89
06-01-2011,86
07-01-2011,89
08-01-2011,84
09-01-2011,86
10-01-2011,78
11-01-2011,83
12-01-2011,82
13-01-2011,81
14-01-2011,81
15-01-2011,78
16-01-2011,80
17-01-2011,78
18-01-2011,78
19-01-2011,79
20-01-2011,77
21-01-2011,74
22-01-2011,77
23-01-2011,78
24-01-2011,80
25-01-2011,84
26-01-2011,85
27-01-2011,85
28-01-2011,93
29-01-2011,86
30-01-2011,86
31-01-2011,89
01-02-2011,81
02-02-2011,82
03-02-2011,80
04-02-2011,78
05-02-2011,80
06-02-2011,78
07-02-2011,79
08-02-2011,78
09-02-2011,83
10-02-2011,80
11-02-2011,79
12-02-2011,80
13-02-2011,83
14-02-2011,82
15-02-2011,85
16-02-2011,78
17-02-2011,79
18-02-2011,83
19-02-2011,79
20-02-2011,82
21-02-2011,80
22-02-2011,84
23-02-2011,76
24-02-2011,84
25-02-2011,79
26-02-2011,78
27-02-2011,75
28-02-2011,79
01-03-2011,73
02-03-2011,78
03-03-2011,74
04-03-2011,80
05-03-2011,78
06-03-2011,82
07-03-2011,78
08-03-2011,80
09-03-2011,81
10-03-2011,82
11-03-2011,84
12-03-2011,83
13-03-2011,81
14-03-2011,82
15-03-2011,86
16-03-2011,76
17-03-2011,88
18-03-2011,86
19-03-2011,83
20-03-2011,86
21-03-2011,84
22-03-2011,84
23-03-2011,86
24-03-2011,84
25-03-2011,86
26-03-2011,80
27-03-2011,86
28-03-2011,77
29-03-2011,86
30-03-2011,86
31-03-2011,78
01-04-2011,86
02-04-2011,76
03-04-2011,81
04-04-2011,79
05-04-2011,80
06-04-2011,83
07-04-2011,78
08-04-2011,77
09-04-2011,76
10-04-2011,79
11-04-2011,88
12-04-2011,79
13-04-2011,81
14-04-2011,80
15-04-2011,80
16-04-2011,82
17-04-2011,84
18-04-2011,82
19-04-2011,81
20-04-2011,79
21-04-2011,82
22-04-2011,82
23-04-2011,85
24-04-2011,78
25-04-2011,81
26-04-2011,84
27-04-2011,88
28-04-2011,80
29-04-2011,84
30-04-2011,88
01-05-2011,83
02-05-2011,81
03-05-2011,80
04-05-2011,80
05-05-2011,81
06-05-2011,81
07-05-2011,71
08-05-2011,72
09-05-2011,76
10-05-2011,81
11-05-2011,76
12-05-2011,79
13-05-2011,80
14-05-2011,82
15-05-2011,88
16-05-2011,84
17-05-2011,84
18-05-2011,82
19-05-2011,86
20-05-2011,85
21-05-2011,85
22-05-2011,82
23-05-2011,80
24-05-2011,82
25-05-2011,82
26-05-2011,79
27-05-2011,80
28-05-2011,80
29-05-2011,82
30-05-2011,87
31-05-2011,80
01-06-2011,83
02-06-2011,82
03-06-2011,84
04-06-2011,85
05-06-2011,84
06-06-2011,78
07-06-2011,82
08-06-2011,78
09-06-2011,75
10-06-2011,80
11-06-2011,77
12-06-2011,76
13-06-2011,74
14-06-2011,80
15-06-2011,81
16-06-2011,77
17-06-2011,78
18-06-2011,78
19-06-2011,81
20-06-2011,84
21-06-2011,82
22-06-2011,78
23-06-2011,82
24-06-2011,79
25-06-2011,76
26-06-2011,82
27-06-2011,80
28-06-2011,84
29-06-2011,84
30-06-2011,78
01-07-2011,86
02-07-2011,78
03-07-2011,78
04-07-2011,78
05-07-2011,80
06-07-2011,81
07-07-2011,80
08-07-2011,76
09-07-2011,76
10-07-2011,73
11-07-2011,80
12-07-2011,79
13-07-2011,79
14-07-2011,82
15-07-2011,80
16-07-2011,80
17-07-2011,79
18-07-2011,76
19-07-2011,76
20-07-2011,78
21-07-2011,77
22-07-2011,80
23-07-2011,79
24-07-2011,84
25-07-2011,80
26-07-2011,78
27-07-2011,79
28-07-2011,82
29-07-2011,80
30-07-2011,82
31-07-2011,77
01-08-2011,78
02-08-2011,82
